customer_account_number,to_recipient_customer_account,old_balance,transaction_amount,new_balance,tp_recipient_customer_account_balance,transaction_time_in_ms,transaction_frequency,average_transaction_amount,account_age_days,method_of_transaction,transaction_currency,location_data,device_used,kyc_status,label_for_fraud,smurfing_indicator,previous_fraud_flag,transaction_id,timestamp,IFSC CODE,IP ADDRESS,MAC address,NARRATION,ECOMMERCE PLATFORM,,,,,,,,,,,,,,,,,,,
50277,84759,113426.4,32863.04,80563.36,18403.4,904,6,1098.35,642,7,INR,French Guiana,POS,NONE,1,1,1,T00000043,05-04-2025 19:32,SBIN0001234,240.117.197.74,6C:80:D1:5E:16:73,User purchased from Amazon,Amazon,,,,,,,,,,,,,,,,,,,
99344,92130,32235.87,7851.1,24384.77,21544.73,963,3,-1008.48,2343,7,INR,Benin,Tablet,PARTIAL,0,1,1,T00000044,05-04-2025 19:32,HDFC0001234,171.112.64.97,22:C6:56:A1:CD:4E,User purchased from Shopify,Shopify,,,,,,,,,,,,,,,,,,,
20792,52296,137285.75,18522.72,118763.03,26342.18,613,6,-769.25,2023,0,INR,Malawi,Laptop,FULL,0,0,1,T00000045,05-04-2025 19:32,SBIN0001234,148.162.119.220,C9:72:85:9E:08:7D,User purchased from Target,Target,,,,,,,,,,,,,,,,,,,
41608,21770,90122.69,22570.2,67552.49,33470.56,964,5,-997.74,2071,8,INR,Greenland,POS,FULL,0,1,1,T00000046,05-04-2025 19:32,SBIN0001234,140.108.62.81,E7:85:E9:F0:E9:1C,User purchased from Amazon,Amazon,,,,,,,,,,,,,,,,,,,
20792,31553,140718.63,47986.53,92732.1,49538.58,511,9,-2724.63,908,2,INR,Israel,Tablet,FULL,0,1,0,T00000047,05-04-2025 19:32,ICIC0000889,90.165.72.187,D6:BA:2A:C1:06:F6,User purchased from Amazon,Amazon,,,,,,,,,,,,,,,,,,,
50804,48178,32438.93,38556.78,-6117.85,68879.37,442,4,-2985.19,1851,6,INR,Vanuatu,Mobile,NONE,1,0,1,T00000048,05-04-2025 19:32,ICIC0000889,239.185.117.152,AA:7E:BC:D1:9B:8E,User purchased from Etsy,Etsy,,,,,,,,,,,,,,,,,,,
42682,21262,82820.38,20175.3,62645.08,56429.05,866,6,851.85,2748,5,INR,Senegal,ATM,PARTIAL,0,0,1,T00000049,05-04-2025 19:32,AXIS0000312,48.103.204.114,68:C9:35:30:AE:07,User purchased from Target,Target,,,,,,,,,,,,,,,,,,,
71143,44273,40943.89,41835.71,-891.82,31431.84,758,2,-610.53,2389,2,INR,Comoros,Desktop,PARTIAL,1,0,0,T00000049,05-04-2025 19:36,AXIS0000312,25.1.15.177,3A:F5:F0:09:83:28,User purchased from Best Buy,Best Buy,,,,,,,,,,,,,,,,,,,
65478,88557,41184.8,42583.39,-1398.59,61594.59,492,3,-1642.16,2433,6,INR,Kiribati,Laptop,PARTIAL,0,1,1,T00000050,05-04-2025 19:36,HDFC0001234,15.154.100.121,6C:37:43:EF:83:A5,User purchased from Flipkart,Flipkart,,,,,,,,,,,,,,,,,,,
60612,27472,22840.53,21173.04,1667.49,60201.52,755,2,390.13,1323,3,INR,Chile,Laptop,PARTIAL,1,1,0,T00000051,05-04-2025 19:36,SBIN0001234,65.50.247.69,53:A5:C8:0F:9B:36,User purchased from Walmart,Walmart,,,,,,,,,,,,,,,,,,,
32392,39135,109094.33,22230.16,86864.17,92924.47,472,10,2777.92,1496,7,INR,Haiti,Laptop,FULL,1,1,0,T00000052,05-04-2025 19:36,SBIN0001234,34.30.179.109,F9:7B:DE:87:FF:5B,User purchased from Shopify,Shopify,,,,,,,,,,,,,,,,,,,
30033,75459,56766.94,36289.11,20477.83,53115.33,740,7,2712.66,2531,6,INR,Taiwan,Tablet,PARTIAL,0,1,1,T00000053,05-04-2025 19:36,SBIN0001234,95.254.77.183,2B:AF:B5:F3:ED:21,User purchased from Amazon,Amazon,,,,,,,,,,,,,,,,,,,
30033,10845,20685.43,43953.86,-23268.43,73229.21,551,8,-1031.33,1833,8,INR,Tanzania,Tablet,PARTIAL,0,0,0,T00000054,05-04-2025 19:36,SBIN0001234,10.29.63.219,08:CA:D2:74:2D:66,User purchased from Etsy,Etsy,,,,,,,,,,,,,,,,,,,
70762,94065,82752.55,22270.63,60481.92,19455.93,643,2,572.79,1130,3,INR,Guadeloupe,Laptop,PARTIAL,1,0,0,T00000055,05-04-2025 19:36,AXIS0000312,69.46.133.139,E0:04:90:33:37:8D,User purchased from Flipkart,Flipkart,,,,,,,,,,,,,,,,,,,
45961,64018,67380.55,12963.14,54417.41,20765.72,543,10,-2734.42,705,1,INR,Saint Barthelemy,ATM,FULL,1,0,1,T00000056,05-04-2025 19:36,SBIN0000234,30.205.228.180,33:01:16:F3:19:71,User purchased from Shopify,Shopify,,,,,,,,,,,,,,,,,,,
64961,63698,92966.52,30693.13,62273.39,14338.81,415,4,2101.83,2294,3,INR,Singapore,Tablet,PARTIAL,0,1,0,T00000057,05-04-2025 19:36,SBIN0000234,245.105.100.135,FB:25:1F:FB:99:46,User purchased from Etsy,Etsy,,,,,,,,,,,,,,,,,,,
71143,88214,100522.04,20836.47,79685.57,56354.71,454,3,79.97,2713,4,INR,Singapore,Mobile,PARTIAL,1,0,1,T00000058,05-04-2025 19:36,SBIN0001234,28.208.115.4,39:19:3D:5E:FD:3F,User purchased from Best Buy,Best Buy,,,,,,,,,,,,,,,,,,,
70762,31817,144703.32,12155.86,132547.46,28494.24,560,10,168.59,2051,3,INR,Canada,Desktop,FULL,0,0,0,T00000059,05-04-2025 19:36,AXIS0000312,241.42.180.5,04:A9:E7:05:80:B3,User purchased from Flipkart,Flipkart,,,,,,,,,,,,,,,,,,,
63457,62803,109326.08,41911.94,67414.14,66945.24,990,6,875.33,538,1,INR,India,Desktop,FULL,0,1,1,T00000060,05-04-2025 19:36,SBIN0000234,130.184.151.93,52:39:86:0A:16:54,User purchased from Amazon,Amazon,,,,,,,,,,,,,,,,,,,
71143,42252,75122.06,41847.21,33274.85,58299.88,458,7,1895.92,863,2,INR,Kenya,ATM,NONE,0,0,0,T00000061,05-04-2025 19:36,SBIN0001234,244.78.243.42,70:64:43:EB:6D:D3,User purchased from Flipkart,Flipkart,,,,,,,,,,,,,,,,,,,
45961,59362,120607.89,35646.94,84960.95,47261.19,742,7,-1471.68,182,4,INR,Nauru,Desktop,PARTIAL,1,0,1,T00000062,05-04-2025 19:36,SBIN0000234,15.15.80.253,47:82:DE:81:4A:B9,User purchased from Shopify,Shopify,,,,,,,,,,,,,,,,,,,
54376,57682,139995.17,34372.53,105622.64,98539.13,618,3,2666.42,1658,4,INR,Sierra Leone,Tablet,NONE,1,0,1,T00000063,05-04-2025 19:36,HDFC0001234,154.60.4.181,FA:26:5A:F7:CE:BB,User purchased from Target,Target,,,,,,,,,,,,,,,,,,,
15049,34283,46096.84,29229.55,16867.29,78496.65,608,9,2188.56,145,3,INR,Panama,Tablet,NONE,1,1,1,T00000064,05-04-2025 19:36,AXIS0000312,116.82.251.112,D8:70:12:D2:5F:42,User purchased from eBay,eBay,,,,,,,,,,,,,,,,,,,
63457,77153,55517.11,33100.07,22417.04,63456.65,699,2,-2917.12,862,8,INR,Niger,ATM,PARTIAL,1,0,1,T00000065,05-04-2025 19:36,AXIS0000312,28.153.183.208,75:4F:8E:84:44:4C,User made a normal transfer,null,,,,,,,,,,,,,,,,,,,
51461,99360,117740.93,35342.13,82398.8,20147.79,508,2,-2425.63,633,8,INR,Libyan Arab Jamahiriya,Laptop,NONE,0,1,1,T00000066,05-04-2025 19:36,HDFC0001234,105.240.255.12,28:42:9E:65:E9:E3,User purchased from Walmart,Walmart,,,,,,,,,,,,,,,,,,,
43766,24505,108456.99,3387.33,105069.66,22593.98,814,4,-1066.81,1868,4,INR,Costa Rica,POS,PARTIAL,1,1,0,T00000067,05-04-2025 19:36,SBIN0001234,30.240.203.204,8B:67:82:62:6F:6C,User purchased from Shopify,Shopify,,,,,,,,,,,,,,,,,,,
12908,62551,15429.35,9269.75,6159.6,83620.89,422,8,2382,1517,4,INR,Palestinian Territory,Tablet,FULL,0,0,0,T00000068,05-04-2025 19:36,ICIC0000889,100.50.18.200,6C:32:A4:A6:DA:CA,User purchased from Etsy,Etsy,,,,,,,,,,,,,,,,,,,
63457,88436,80247.91,39846.69,40401.22,30877.54,556,7,2686.93,708,0,INR,Angola,Desktop,NONE,0,0,1,T00000069,05-04-2025 19:36,SBIN0001234,225.230.232.143,3F:9D:BE:CD:E2:66,User purchased from Walmart,Walmart,,,,,,,,,,,,,,,,,,,
63457,85298,132250.18,5371.06,126879.12,98284.4,843,8,2545.82,1060,8,INR,Lebanon,Desktop,NONE,0,1,0,T00000070,05-04-2025 19:36,HDFC0001234,76.35.218.248,1D:3E:F1:C7:C0:F6,User purchased from eBay,eBay,,,,,,,,,,,,,,,,,,,
66421,18722,31886.73,4088.26,27798.47,21186.34,865,5,1251.45,2476,3,INR,United Kingdom,Desktop,NONE,1,0,0,T00000071,05-04-2025 19:36,SBIN0001234,103.37.40.27,0A:65:98:01:13:CD,User purchased from Etsy,Etsy,,,,,,,,,,,,,,,,,,,
71143,84780,94407.05,16931.02,77476.03,70498.65,441,6,1197.7,2305,7,INR,French Polynesia,POS,NONE,1,0,0,T00000072,05-04-2025 19:36,HDFC0001234,28.156.70.184,31:56:15:92:06:48,User purchased from Amazon,Amazon,,,,,,,,,,,,,,,,,,,
84782,71540,143977.39,21722.94,122254.45,44387.83,417,10,-2647.05,902,1,INR,Estonia,Laptop,FULL,0,0,0,T00000073,05-04-2025 19:36,AXIS0000312,200.143.225.10,DF:93:CC:7D:FC:2C,User purchased from Walmart,Walmart,,,,,,,,,,,,,,,,,,,
43766,66606,37765.38,29825.61,7939.77,21196.37,562,7,918.7,2326,6,INR,Peru,Mobile,PARTIAL,0,0,1,T00000074,05-04-2025 19:36,SBIN0000234,182.112.184.194,89:CA:38:55:E0:74,User made a normal transfer,null,,,,,,,,,,,,,,,,,,,
71143,74511,113339.89,12264.18,101075.71,45331.88,895,6,-2672.42,1614,7,INR,Australia,Mobile,PARTIAL,1,1,1,T00000075,05-04-2025 19:36,ICIC0000456,154.255.181.80,D9:A0:1F:DD:B1:FD,User purchased from eBay,eBay,,,,,,,,,,,,,,,,,,,
71143,38537,78843.15,46137.86,32705.29,91964.51,921,9,1978.33,1792,5,INR,Saint Helena,ATM,NONE,0,1,1,T00000076,05-04-2025 19:36,AXIS0000312,214.15.199.51,39:F8:48:C8:41:61,User purchased from Walmart,Walmart,,,,,,,,,,,,,,,,,,,
31458,68716,112560.22,27201.45,85358.77,15577.03,774,1,621.8,2797,2,INR,Malawi,Tablet,FULL,1,0,1,T00000077,05-04-2025 19:36,SBIN0001234,138.95.179.199,2E:A9:10:38:59:54,User purchased from Best Buy,Best Buy,,,,,,,,,,,,,,,,,,,
45961,86514,12610.25,21121.58,-8511.33,63915.51,813,3,948.11,1221,3,INR,Maldives,Desktop,NONE,0,0,1,T00000078,05-04-2025 19:36,ICIC0000456,56.45.190.128,A0:7B:7F:9A:DD:CD,User purchased from Target,Target,,,,,,,,,,,,,,,,,,,
43766,15860,82372.94,13299.42,69073.52,19440.15,679,7,-2050.03,192,6,INR,Botswana,Mobile,PARTIAL,1,1,0,T00000079,05-04-2025 19:37,HDFC0001234,208.203.230.56,D6:F4:8A:61:F8:CF,User purchased from Shopify,Shopify,,,,,,,,,,,,,,,,,,,
43766,76445,93279.26,13070.66,80208.6,56710.84,956,2,771.29,2437,3,INR,Spain,POS,FULL,1,1,1,T00000080,05-04-2025 19:37,ICIC0000456,192.29.42.187,4D:A1:29:86:80:C1,User purchased from Walmart,Walmart,,,,,,,,,,,,,,,,,,,
84782,75382,132530.16,37089.13,95441.03,97593.14,580,1,2641.83,465,7,INR,Saint Martin,ATM,FULL,1,1,0,T00000081,05-04-2025 19:37,ICIC0000889,246.210.58.16,34:D3:17:77:20:34,User purchased from Etsy,Etsy,,,,,,,,,,,,,,,,,,,
60612,69647,132663.4,14408.86,118254.54,62422.37,889,6,1620.94,2294,8,INR,Fiji,Laptop,NONE,1,0,0,T00000082,05-04-2025 19:37,ICIC0000456,112.227.199.197,5D:70:C9:E5:0F:D9,User purchased from Best Buy,Best Buy,,,,,,,,,,,,,,,,,,,
39828,35113,102239.62,11848.85,90390.77,39999.62,961,6,-725.83,1911,4,INR,Greece,Laptop,NONE,1,0,1,T00000083,05-04-2025 19:37,ICIC0000456,230.215.54.114,B1:0C:D3:20:B0:B9,User purchased from Amazon,Amazon,,,,,,,,,,,,,,,,,,,
63964,32987,147951.65,18495.76,129455.89,25809.83,906,1,-1858.82,2018,2,INR,Albania,ATM,FULL,1,0,1,T00000084,05-04-2025 19:37,SBIN0000234,253.32.1.110,13:49:7D:67:62:FD,User purchased from Amazon,Amazon,,,,,,,,,,,,,,,,,,,
43766,37144,10094.18,2200.93,7893.25,78873.08,802,1,-342.61,1307,6,INR,Romania,ATM,PARTIAL,0,1,1,T00000085,05-04-2025 19:37,ICIC0000889,61.97.208.14,7C:C1:57:8A:5B:E9,User purchased from Etsy,Etsy,,,,,,,,,,,,,,,,,,,
84782,93161,10026.62,7230.95,2795.67,68146.24,526,5,-2820.19,1283,5,INR,Oman,Tablet,PARTIAL,0,0,0,T00000086,05-04-2025 19:37,SBIN0000234,210.130.77.236,F1:18:C6:A9:C6:47,User purchased from Walmart,Walmart,,,,,,,,,,,,,,,,,,,
63964,72688,78001.61,21558.34,56443.27,36108.35,923,3,2022.9,2370,7,INR,Cambodia,POS,PARTIAL,1,1,0,T00000087,05-04-2025 19:37,ICIC0000889,150.194.164.139,82:B9:AF:C8:7A:24,User purchased from Best Buy,Best Buy,,,,,,,,,,,,,,,,,,,
15049,16864,147561.15,29829.24,117731.91,90300.47,672,4,2285.93,658,3,INR,Faroe Islands,Desktop,NONE,1,0,1,T00000088,05-04-2025 19:37,SBIN0000234,26.61.156.141,4F:BF:65:4F:7A:56,User made a normal transfer,null,,,,,,,,,,,,,,,,,,,
15049,60537,58962.2,26677.83,32284.37,67464.52,531,1,-2249.88,1827,3,INR,Christmas Island,Mobile,PARTIAL,0,1,1,T00000089,05-04-2025 19:37,HDFC0001234,207.203.113.211,A9:30:73:E1:56:5F,User purchased from Amazon,Amazon,,,,,,,,,,,,,,,,,,,
70762,90982,22788.56,12347.86,10440.7,94612.75,634,8,404.27,2290,5,INR,Greenland,Mobile,PARTIAL,0,0,1,T00000090,05-04-2025 19:37,ICIC0000456,177.184.255.166,04:56:C2:54:5E:6F,User purchased from Walmart,Walmart,,,,,,,,,,,,,,,,,,,
64961,39679,14155.32,22003.19,-7847.87,36958.88,505,10,2714.83,1113,4,INR,Australia,Mobile,NONE,1,0,0,T00000091,05-04-2025 19:37,SBIN0000234,255.75.100.235,44:8E:54:0F:2E:14,User purchased from Best Buy,Best Buy,,,,,,,,,,,,,,,,,,,
35651,35485,118479.77,23150.23,95329.54,29045.67,784,2,2677.19,1180,2,INR,Armenia,ATM,NONE,1,0,0,T00000092,05-04-2025 19:37,ICIC0000889,67.108.57.75,40:0C:3A:7E:87:BB,User purchased from Best Buy,Best Buy,,,,,,,,,,,,,,,,,,,
51461,20171,19683.85,18734.99,948.86,56984.48,911,9,-618.41,779,3,INR,Eritrea,Tablet,FULL,1,0,1,T00000093,05-04-2025 19:37,ICIC0000889,170.216.176.66,79:FC:17:B2:E5:4C,User purchased from eBay,eBay,,,,,,,,,,,,,,,,,,,
